ap-fnb-bellbox,/GR158M2/CNPE1007AV0A39/,Dell Inc.,Dell Inc. OptiPlex 3050,172.29.227.7,ap.cruises.princess.com,Grand Princess,ServiceNow,Computer,5/20/2023 10:14,
ex-deck-clerk,/95Q0W23/CNFCW009CV01PO/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.72.32,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:40,
ex-frntdesk-6,/JNM4W23/CNFCW009CJ022E/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.11,,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:59,
cb-new-lap9,/45BJNH2/CN129637AR134E/,Dell Inc.,Dell Inc. Latitude 7480,172.29.195.178,,Coral Princess,ServiceNow,Computer,5/5/2023 19:15,
apdekstcaptoff,/GQM78M2/CNPE1007AU0KRH/,Dell Inc.,Dell Inc. OptiPlex 3050,172.29.227.138,ap.cruises.princess.com,Grand Princess,ServiceNow,Computer,5/1/2023 22:54,
cb-webcam,MJ00P7A8,LENOVO,LENOVO 10AAS0J300,172.29.192.175,cb.cruises.princess.com,Caribbean Princess,ServiceNow,Computer,5/20/2023 9:30,CB WEBCAM
ap-gsvc-ahgm,/79J8X63/CNPEC0005108MW/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.226.201,,Grand Princess,ServiceNow,Computer,5/20/2023 10:15,
cbilo04,/4T5L3Q3/CNPE1001BU030B/,Dell Inc.,Dell Inc. OptiPlex 7490 AIO,172.29.193.24,cb.cruises.princess.com,Caribbean Princess,ServiceNow,Computer,5/20/2023 8:47,
ex-frntdesk-3,/9810W23/CNFCW0001201S7/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.7,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:52,
apgalchefasoff1,/7DJ4X63/CNPEC0005200K2/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.227.0,,Grand Princess,ServiceNow,Computer,5/20/2023 10:30,
ex-cas-cage2,/949YV23/CNFCW000120758/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.21,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/6/2023 18:30,
apgstdcmoff1,/G7PFX53/CNPEC0004I039J/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.227.31,ap.cruises.princess.com,Grand Princess,ServiceNow,Computer,5/20/2023 10:01,
apspamgroff1,/78Y6X63/CNPEC0005107Q9/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.227.71,ap.cruises.princess.com,Grand Princess,ServiceNow,Computer,5/20/2023 10:14,
ex-gsvc-chls,/9DRXV23/CNFCW0001202PS/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.16,,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:37,
apgalscheflap1,/D6HHZY2/CNCMK0098U0035/,Dell Inc.,Dell Inc. Latitude 7480,172.29.227.13,,Grand Princess,ServiceNow,Computer,5/20/2023 10:13,
apshxamgroff1,/7HB4X63/CNPEC0005106XO/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.226.141,,Grand Princess,ServiceNow,Computer,5/20/2023 10:15,
cbmednur4,/28V25K3/CNWS2001AM06QY/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.193.89,cb.cruises.princess.com,Caribbean Princess,ServiceNow,Computer,4/27/2023 16:28,
ex-fnb-asstprov,/HVFV9Z2/CNFCW0097R00XE/,Dell Inc.,Dell Inc. OptiPlex 3060,10.125.75.68,,Enchanted Princess,ServiceNow,Computer,5/20/2023 12:00,
ex-gsvc-htlclrk,/JMJZV23/CNFCW009CM048V/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.80,,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:36,
iptecstoreoff1,/7RL5X63/CNPEC000510827/,Dell Inc.,Dell Inc. OptiPlex 3080,172.29.209.107,ip.cruises.princess.com,Island Princess,ServiceNow,Computer,4/27/2023 0:01,
ex-spa-fitness,/9630W23/CNFCW0001207L2/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.74.143,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/20/2023 12:09,
ex-med-ecarlap2,,,Unknown,10.125.67.39,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/5/2023 19:45,
cb-eseacare3,/F0VSVT2/CNCMK0093A0080/,Dell Inc.,Dell Inc. Latitude 7480,172.29.194.104,cb.cruises.princess.com,Caribbean Princess,ServiceNow,Computer,4/28/2023 18:41,Medical laptop 3
ex-shrx-tstf1,/9FQ4W23/CNFCW000110507/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.73.42,ex.cruises.princess.com,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:39,
ex-zeb-ito3,/9GT2W23/CNFCW000120220/,Dell Inc.,Dell Inc. OptiPlex 3070,10.125.74.15,,Enchanted Princess,ServiceNow,Computer,5/20/2023 12:01,
aptecctocab1,/GR148M2/CNPE1007AU0KLK/,Dell Inc.,Dell Inc. OptiPlex 3050,172.29.227.102,ap.cruises.princess.com,Grand Princess,ServiceNow,Computer,5/20/2023 10:00,
ex-ilo-12,/90NT513/CNPE10098H02P8/,Dell Inc.,Dell Inc. OptiPlex 7470 AIO,10.125.72.29,,Enchanted Princess,ServiceNow,Computer,5/20/2023 11:50,
