APCASMGR1,AP,aphcasm1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G79DX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCASPIT1,AP,aphcasm2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,G6NFX53,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCASPIT2,AP,aphcasm2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7R35X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCASSLOTMGR,AP,aphcass1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7JP4X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCMAS1,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 fa 02 98 28 35 28-89 67 56 d1 4c d3 3c 40,5/22/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
APCMAS2,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 7d 55 78 b4 33 79-26 a5 ca 13 9d f5 07 bb,5/22/2023,Microsoft Windows Server 2012 R2 Standard,6.3.9600
APCMAS3,AP,Administrator,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 1e 70 b3 d9 4a 31 a6-0e ae 37 d4 05 d2 0b 98,5/22/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APCMAS4,AP,Administrator,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 1e 26 73 ba d7 70 e6-a6 9f b1 ed 57 9d 26 30,5/22/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APCMPRI1,AP,rsk3142-2,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 3d 94 b8 8a b3 4d-a0 e5 69 da 43 59 7c e2,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
APCMPRIDB1,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 f8 63 a4 6e 85 ad-9a f3 58 42 e2 6e 9a 75,5/23/2023,Microsoft Windows Server 2016 Standard,10.0.14393
AP-CREWOFF-DSK1,AP,aphsapc1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,77R4X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-CREWOFF-MGR,AP,aphsapc1,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7FP5X63,5/22/2023,Microsoft Windows 10 Enterprise,10.0.19044
AP-CRWOFF-AMGR,AP,aphapurc,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7FJ7X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCRWOFFICE1,AP,aphapurc,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3080,7C15X63,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
APCTTASKER1,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 40 8c 11 b3 98 5d-cf e3 19 0d 6b ca 78 05,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDC1,AP,wda6950,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 44 32 da 9c ab 6f-3d 16 cb 3d c4 a1 4f 1a,5/22/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDC2,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 36 19 36 95 d0 67 af-73 a8 b7 a0 2a ff 99 38,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDCCDC01,AP,jeffb-2,Yes,5.00.9106.1000,DCC-Dallas,"VMware, Inc.","VMware7,1",VMware-42 15 80 a3 99 70 7a 02-0b 4a 91 05 2c e9 80 cf,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDCWNAIRAS001,AP,NULL,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 62 4a d5 6d d3 b3-a2 da 58 a1 95 c9 97 1d,5/23/2023,Microsoft Windows Server 2022 Standard,10.0.20348
APDCWNARCAS001,AP,NULL,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 4e f9 eb 9e 95 16-3d 38 2e 8b f0 51 88 c6,5/23/2023,Microsoft Windows Server 2022 Standard,10.0.20348
APDCWNBWCAS001,AP,NULL,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 1c 1c bb c1 51 bf-8e f2 78 03 6e ca 64 75,5/23/2023,Microsoft Windows Server 2022 Standard,10.0.20348
APDCWNOOCNC001,AP,aphcmpo1,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.",VMware Virtual Platform,VMware-42 1e dd 10 c8 48 d2 70-bb 31 6c a7 44 47 3f 92,5/22/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDCWNSNWAS001,AP,NULL,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 6b 92 e0 be 76 2f-7a 5c 13 be 24 70 92 3a,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDCWNSQLDB06,AP,ksu2108-2,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 04 74 6d 11 b6 cb-98 11 c8 95 09 49 ac 46,5/23/2023,Microsoft Windows Server 2019 Standard,10.0.17763
APDCWNVILAS001,AP,NULL,Yes,5.00.9106.1000,GrandPrincess,"VMware, Inc.","VMware7,1",VMware-42 1e 57 64 9d 8e 3e 80-6a dc 13 de f3 0c 5f b5,5/23/2023,Microsoft Windows Server 2022 Standard,10.0.20348
AP-DECK-SSPV,AP,apdseco2,Yes,5.00.9106.1000,GrandPrincess,Dell Inc.,OptiPlex 3040,8DQNRD2,5/23/2023,Microsoft Windows 10 Enterprise,10.0.19044
