xsdclxentbs001,VMware-42 06 34 f1 04 b8 ab ca-5f bf e3 4f 6f 0a be f3,"VMware, Inc.","VMware, Inc. VMware7,1",,10.126.192.14,Princess Office,Linux Server,,ServiceNow,2/27/2023
cb-loyalty-mgr,cb-loyalty-mgr,,Unknown,,172.29.193.94,Caribbean Princess,Computer,,ServiceNow,4/20/2023
cbmedadminlap,/2FK06M3/CNCMK002340D85/,Dell Inc.,Dell Inc. Latitude 5420,,172.29.194.160,Caribbean Princess,Computer,,ServiceNow,4/23/2023
cbcrowngrill,/37V25K3/CNWS2001AM06Q3/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.193.86,Caribbean Princess,Computer,,ServiceNow,4/23/2023
cbitaito2lap,/6Y9T6S2/CNCMK008CB029A/,Dell Inc.,Dell Inc. Latitude 7480,,172.29.193.108,Caribbean Princess,Computer,,ServiceNow,4/23/2023
ipfnbprovmstoff,/78Z7X63/CNPEC000510818/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.209.97,Island Princess,Computer,,ServiceNow,4/23/2023
iptec1ectoff1,/7K96X63/CNPEC0004S05E7/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.210.172,Island Princess,Computer,,ServiceNow,4/23/2023
ipgsthtlclerk,/7MV3X63/CNPEC0005200I7/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.209.43,Island Princess,Computer,,ServiceNow,4/23/2023
ipgstcrwcntr,/G63JX53/CNPEC0004I0349/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.209.141,Island Princess,Computer,,ServiceNow,4/23/2023
ipdinsabatini,/G7MBX53/CNPEC0004I02VI/,Dell Inc.,Dell Inc. OptiPlex 3080,,172.29.210.234,Island Princess,Computer,,ServiceNow,4/23/2023
ipsecssglap1,/JK3QSQ3/CNCMK0026H08CC/,Dell Inc.,Dell Inc. Latitude 5430,,172.29.210.182,Island Princess,Computer,,ServiceNow,4/23/2023
ipgalsouschef,/JRR75M3/CNCMK0022M0342/,Dell Inc.,Dell Inc. Latitude 5420,,172.29.210.175,Island Princess,Computer,,ServiceNow,4/23/2023
ipdintemp,1ZPAW34D2LB,LENOVO,LENOVO 2355AR2,,172.29.210.163,Island Princess,Computer,,ServiceNow,4/23/2023
ipbtqwatchlap,1ZSUH4B13ZX,LENOVO,LENOVO 20ARS08E00,,172.29.209.200,Island Princess,Computer,,ServiceNow,4/23/2023
iphrsmgroff1,iphrsmgroff1,,Unknown,,172.29.209.181,Island Princess,Computer,,ServiceNow,4/23/2023
itspare,itspare,,Unknown,,172.29.209.198,Island Princess,Computer,,ServiceNow,4/23/2023
ipmedtriagelap2,L1HF59W082Y,LENOVO,LENOVO 20BWS1VY00,,172.29.209.95,Island Princess,Computer,,ServiceNow,4/23/2023
iphrsmgrlap1,L1HF5AW05ZM,LENOVO,LENOVO 20BWS1VY00,,172.29.210.250,Island Princess,Computer,,ServiceNow,4/23/2023
cb-tech-cteclap,/JXHGP13/CNCMK0001A06D2/,Dell Inc.,Dell Inc. Latitude 5400,,172.29.195.43,Caribbean Princess,Computer,,ServiceNow,4/24/2023
cbgenesistab01,AL5JM1711G34309A,Microsoft Corporation,Microsoft Corporation Surface Pro 9,,172.29.195.30,Caribbean Princess,Computer,,ServiceNow,4/24/2023
cbgenesistab02,AL5JM1712W14309A,Microsoft Corporation,Microsoft Corporation Surface Pro 9,,172.29.195.37,Caribbean Princess,Computer,,ServiceNow,4/24/2023
cb-hkpg-public,MJ00P7CW,LENOVO,LENOVO 10AAS0J300,,172.29.194.89,Caribbean Princess,Computer,,ServiceNow,4/24/2023
cb-spare,/3L7Q8Y2/CNCMK00988001A/,Dell Inc.,Dell Inc. Latitude 7480,,172.29.195.27,Caribbean Princess,Computer,,ServiceNow,4/25/2023
cbfnbabarmgr,/6HM2ZS3/CNWS20029901RU/,Dell Inc.,Dell Inc. OptiPlex 3000,,172.29.193.136,Caribbean Princess,Computer,,ServiceNow,4/25/2023
cb-itspasre1,1ZSUH43N7Y4,LENOVO,LENOVO 20ARS08J00,,172.29.194.193,Caribbean Princess,Computer,,ServiceNow,4/25/2023
cb-cas-pit2,MJ082D9,LENOVO,LENOVO 3237AJ5,,172.29.193.7,Caribbean Princess,Computer,,ServiceNow,4/25/2023
