APCMAS2,VMware-42 36 7d 55 78 b4 33 79-26 a5 ca 13 9d f5 07 bb,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2012 R2 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
APCMAS3,VMware-42 1e 70 b3 d9 4a 31 a6-0e ae 37 d4 05 d2 0b 98,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,Administrator,SCCM,5/22/2023
APCMAS4,VMware-42 1e 26 73 ba d7 70 e6-a6 9f b1 ed 57 9d 26 30,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,Administrator,SCCM,5/22/2023
APCMPRI1,VMware-42 36 3d 94 b8 8a b3 4d-a0 e5 69 da 43 59 7c e2,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,rsk3142-2,SCCM,5/23/2023
APCMPRIDB1,VMware-42 36 f8 63 a4 6e 85 ad-9a f3 58 42 e2 6e 9a 75,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
AP-CREWOFF-DSK1,77R4X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphsapc1,SCCM,5/22/2023
AP-CREWOFF-MGR,7FP5X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphsapc1,SCCM,5/22/2023
AP-CRWOFF-AMGR,7FJ7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphapurc,SCCM,5/23/2023
APCRWOFFICE1,7C15X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphapurc,SCCM,5/23/2023
APCTTASKER1,VMware-42 36 40 8c 11 b3 98 5d-cf e3 19 0d 6b ca 78 05,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APDC1,VMware-42 36 44 32 da 9c ab 6f-3d 16 cb 3d c4 a1 4f 1a,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,wda6950,SCCM,5/22/2023
APDC2,VMware-42 36 19 36 95 d0 67 af-73 a8 b7 a0 2a ff 99 38,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APDCCDC01,VMware-42 15 80 a3 99 70 7a 02-0b 4a 91 05 2c e9 80 cf,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2019 Standard,,DCC-Dallas,,jeffb-2,SCCM,5/23/2023
APDCWNAIRAS001,VMware-42 1e 62 4a d5 6d d3 b3-a2 da 58 a1 95 c9 97 1d,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2022 Standard,,GrandPrincess,,NULL,SCCM,5/23/2023
APDCWNARCAS001,VMware-42 1e 4e f9 eb 9e 95 16-3d 38 2e 8b f0 51 88 c6,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2022 Standard,,GrandPrincess,,NULL,SCCM,5/23/2023
APDCWNBWCAS001,VMware-42 1e 1c 1c bb c1 51 bf-8e f2 78 03 6e ca 64 75,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2022 Standard,,GrandPrincess,,NULL,SCCM,5/23/2023
APDCWNOOCNC001,VMware-42 1e dd 10 c8 48 d2 70-bb 31 6c a7 44 47 3f 92,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
APDCWNSNWAS001,VMware-42 1e 6b 92 e0 be 76 2f-7a 5c 13 be 24 70 92 3a,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2019 Standard,,GrandPrincess,,NULL,SCCM,5/23/2023
APDCWNSQLDB06,VMware-42 1e 04 74 6d 11 b6 cb-98 11 c8 95 09 49 ac 46,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2019 Standard,,GrandPrincess,,ksu2108-2,SCCM,5/23/2023
APDCWNVILAS001,VMware-42 1e 57 64 9d 8e 3e 80-6a dc 13 de f3 0c 5f b5,"VMware, Inc.","VMware7,1",Microsoft Windows Server 2022 Standard,,GrandPrincess,,NULL,SCCM,5/23/2023
AP-DECK-SSPV,8DQNRD2,Dell Inc.,OptiPlex 3040,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdseco2,SCCM,5/23/2023
APDEKBOSUN1,G8SKX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdbosun,SCCM,5/23/2023
APDEKBRGCONSOLE,FVNTCS2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdbridg,SCCM,2/4/2023
APDEKBRIDGE1,7DR3X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdbridg,SCCM,5/22/2023
APDEKBRIDGE2,G7RLX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apd2off2,SCCM,5/22/2023
APDEKCAPTOFF,J09ZCS2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdcapt1,SCCM,5/23/2023
APDEKCLERK1,G83KX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apddclk1,SCCM,5/22/2023
APDEKENVLAP1,1ZSGP13,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdevof1,SCCM,5/18/2023
APDEKENVOFF1,9HMMXK2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdevof1,SCCM,5/22/2023
APDEKFIRSTOFF1,7HF6X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apd1off1,SCCM,5/22/2023
APDEKNAPAELOG,MJ02J1TZ,LENOVO,10AAS0J300,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdbridg,SCCM,5/23/2023
APDEKSAFETY1,7F88X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apd3off1,SCCM,5/22/2023
APDEKSAFETY2,CKM7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apd3off1,SCCM,5/23/2023
APDEKSAFETYOFF1,G8QDX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdsoff1,SCCM,5/23/2023
APDEKSNR2OFF,7GG9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apd2off1,SCCM,5/22/2023
APDEKSTATBRD,MJ02RPM3,LENOVO,10AAS0J300,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdbridg,SCCM,5/22/2023
APDEKSTCAPTOFF,GQM78M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,apdstcp1,SCCM,5/23/2023
APDHCPSRV1,VMware-42 22 5e 08 5e da db fa-62 99 86 e4 42 9b 39 d9,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2012 R2 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/22/2023
APDHCPSRV2,VMware-42 22 80 fb d6 31 91 df-8e 5f 21 3f 4d c0 1b 9d,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2012 R2 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APDINAMAIRED1,3XHKX53,Dell Inc.,OptiPlex 3070,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphmdhl2,SCCM,5/22/2023
APDINAMAITRED,7DB9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphdclk,SCCM,5/22/2023
AP-DIN-CRWNGRIL,G8LHX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,APHWCRG,SCCM,5/23/2023
APDINDAVINCI,7FY5X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphwadm,SCCM,5/22/2023
APDINLAP5,HDYWVT2,Dell Inc.,Latitude 7480,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphdclk,SCCM,5/22/2023
APDINMAITRED,7BK9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphmdhl1,SCCM,5/23/2023
AP-DIN-MICNGELO,7JF4X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphwadm,SCCM,5/23/2023
AP-DIN-RSRVLAP,HFBDRQ2,Dell Inc.,Latitude 7480,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphdclk,SCCM,5/22/2023
AP-DIN-SABATINI,7JS2X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphwsab,SCCM,5/22/2023
AP-DKSIDELAP,32QZK33,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,dockside,SCCM,5/1/2023
AP-DOCK-PRTLAP,7F1R0Z2,Dell Inc.,Latitude 7480,Microsoft Windows 10 Enterprise,,GrandPrincess,,Dockside,SCCM,5/13/2023
APEHD,VMware-42 36 16 c0 cc be 92 e8-91 3f 75 24 f4 49 2c 54,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2019 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
APELC1ETOOFF1,7CV2X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apt1eto1,SCCM,5/22/2023
APELC2ETCOFF1,CJM7X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apt2etc1,SCCM,5/23/2023
APELC2ETOOFF1,7D39X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apt2eto1,SCCM,5/23/2023
APELCBRDMGR1,7CX1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aptbmgr1,SCCM,5/23/2023
APELCBRDMGR2,7CC9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aptbmgr2,SCCM,5/22/2023
APELCBRDMGR3,9HNJXK2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aptbmgr2,SCCM,5/22/2023
APELCSETOOFF1,GR828M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aptseto1,SCCM,5/22/2023
APELCWEBCAM1,7BP9X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,webcam,SCCM,5/23/2023
APELCWRKSHOP1,7HD1X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,apt2eto1,SCCM,5/23/2023
APENTCDIROFF1,7G02X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmgr1,SCCM,5/22/2023
APENTCDIROFF2,GQN18M2,Dell Inc.,OptiPlex 3050,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcdir1,SCCM,5/23/2023
APENTCRSTFFOFF1,G8RCX53,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphjacd1,SCCM,5/23/2023
AP-ENT-DIR,7927X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphentd1,SCCM,5/22/2023
APENTEXPLLAP1,5XTRF13,Dell Inc.,Latitude 5400,Microsoft Windows 10 Enterprise,,GrandPrincess,,production,SCCM,3/28/2023
AP-ENT-FWDPLAN,34BR3J3,Dell Inc.,Latitude 5420,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphcmgr1,SCCM,5/23/2023
AP-ENT-PRODMGR,CKY8X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphprod1,SCCM,5/23/2023
APENTYAMOFF1,7JW3X63,Dell Inc.,OptiPlex 3080,Microsoft Windows 10 Enterprise,,GrandPrincess,,aphyam1,SCCM,5/22/2023
AP-EPO,VMware-42 36 4e 51 58 fb 00 6d-21 a3 dc 97 a9 b5 b7 86,"VMware, Inc.",VMware Virtual Platform,Microsoft Windows Server 2016 Standard,,GrandPrincess,,aphcmpo1,SCCM,5/23/2023
